comments,0/1
Five Stars I love these films :D thank you :),1
good Not much help available but a good logic puzzle once you get the hang!,1
Five Stars Bought for a friend who gives this 5 stars,1
Spider Kept crashing could not change lines,0
Not working Just got this and it won't play...Please what can I do ? Sheenagh Anderson collins,0
Good album as expected! Bought this album for my 50 year old dad as a Christmas present. Haven't heard much of it personally but I have been told it's very good.,1
"love him. Leonardo DiCaprio is the man, love him.",1
Five Stars Great album and came as new!,1
mazon Big Bang Brilliant myself and my husband are avid watchers of the show so funny fantastic characters played by the actors.,1
"Yet to be convinced.... This new 3DD album was recommended to me by a friend and on listenning to the trailers, it seemed to be something possibly special. However, having bought this and listenned to it a number of times, I am not that sure about the quality of this album. I am concerned that, like 'Theory of a dead man', there seems to be a tendancy to go all mainstream and be too close to the stock 'Nickelback' style music. Yes, there are some treasures - like the title track, but too many are mediocre at best. You could lift a number of these tracks and plonk them on a Nickelback album, which is a shame. I wanted something different - 'Time of My life' track promises post-grunge combined with classic heavy rock, yet the tracks that follow simply dont hold up as anything new or interesting. When you see bands of real talent call it a day due to lack of commercial success (like Audioslave), you fear that so many others sacrifice doing something different to ensure sales. An opportunity missed, I am afraid.",0
Brrrriiiiillllllaaaaannntt This game is fun I learned that on a pc or a phone but it's got to be brilliant I searched it but actually<br />5 star I want it to be so: yes I'll buy it.,1
"Good read You have to keep an open mind when reading books like this, it is human nature to try discredit people who write books such as this can only suggest you read it and judge for yourself.",0
"great sound. Really enjoyable Fabulous, great sound.  Really enjoyable.  Shows him at his best!",1
"Expected a lot more A friend with similar literary intrests highly recomended me to read this book. I don't know if it was the excess of expectation, but I spent most of the book thinking: \\""""No. This is really bad, but the best is yet to come\\"""". However, when I realized it, I was finishing the last page and it never got better.  This novel has a bunch of crazy caracters inside non-sense storyline. It's fun to read many parts, but you must keep a real open mind for it's surrealist environment.  The hidden messages and metaphors just didn't do it for me.",0
"Complete rubbish Being an ardent fan of Labyrinth, which this film has been compared to- I was expecting a modern interpretation with something new and exciting put into the mix. The music running throughout is irritating and even though the cast is decent enough, I switched off after half an hour. Thoroughly disapointed and bored. The script lacked depth and there was too much CGI.The magic of what fantasy classics such as Legend, Never ending story and Labyrinth had just wasnt in this. A waste of my money.",0
Great Game This game is probably the best game I've played<br />I always thought you can never find GOOD apps anymore but this on has proved me wrong<br />I definitely would recommend this game,1
Mickey Mouse is scarier Forget the hype..this movie is rubbish..no real story..no real scares..nothing...probably one of the worst movies i have ever seen...ever..and trust me I have seen some crap in my time..but this takes the cake..a complete disappointment,0
"Three Stars Haven finished it yet, I can't get into the story:(",0
"Disappointed I suppose the clue is in the title &#34;Highlights&#34;, as some of the big songs are missing. Don`t know why they just didn`t put the whole thing onto the CD.",0
"A wistful, clunky collection of pseudo-sophisticated observations - painful and utterly vacant. This vapid, ponderous brain fart is essentially a poor re-telling of Good Omens in a counter-factual Nazi Germany. Sadly, not a counter-factual Nazi Germany in the same vein as Robert Harris' Fatherland, or even that novel's poor cousin, C J Sansom's Dominion.<br /><br />No, this is counter-factual in the sense that it is lazy. There was never any snub by Hitler of Jesse Owens, based on race or otherwise. Ayran supremacy did not extend as far as deporting people with brown eyes solely on the basis of having brown eyes at any point. German economic resurgence was never as powerful as is coyly alluded to. At no point did Hitler command 90% of popular approval. Germany had already technically been at war for nearly three years, on numerous fronts, by September 1939.<br /><br />Secondly, the novel is a painful concoction of literary device. Orwellian newspeak categorization sits uncomfortably next to Dickensian tangents, themselves distilled into dreadful soliloquies. The worst, possibly, is the use of anthropomorphic allegory - within the first 30-ish pages we are confronted with the two gravediggers - one is Hitler, the other is the German People, as well as a car driver being the Final Solution. This isn't intelligent, it's incoherent.<br /><br />Such rich, fetid invention is poured awkwardly into a style which can only be described as a child's attempt at concrete prose.<br /><br />TL, DR? Don't bother. Go and read Eichmann in Jerusalem instead, followed by Goodnight Mr. Tom.",0
"Absolutely awesome. Best series ever Absolutely awesome. Best series ever! And sooo talented actors, especially Robert Carlyle and his Rumpelstiltskin. Remember, magic always comes with a price, and so does this dvd, so don't hesitate and invest your money ;)",1
"A worthwhile read Much of value; as with other things this author, last 20% somewhat disappointing as he doesn't finish the story fully.",1
brilriant film Loved this film great story,1
Five Stars Always liked Bryan Ferry's music from being a teenager,1
Captain America Limited Steel Book Very good movie but I wasn't aware that some of the intro. section was in a different language. The actually movie was in English but it was still a bit annoying.,0
"Its ok. We all know this album, its ok on CD awaiting the Blu-Ray Audio 96/24 version to see if it is an improvement as the CD version can sound rather compressed at times.",0
"Skyscanner This apps is ok,found it did not give all the airlines ,have searched the net for certain flights and got alot more choices than the apps gives",0
it was the ideal present I was thrilled to find this as I was struggling to get my daughter a presents for xmas. Packaged well for safe delivery. this was the ideal present and got me at top of the fab person list.,1
Two Stars This is probably Harris' least interesting novel.,0
Five Stars Great racing game,1
"A silly little book ... As an atheist, I was expecting to enjoy this book.  I am tired of the PC approach which holds that other people's beliefs, no matter how wrongheaded, dangerous or plain obnoxious should be \\""""tolerated\\"""" at all costs.  But Sam Harris fails to hit the spot.<br /><br />First of all, there is his ahistorical approach to Islam - basically that terrorism, suicide bombings etc can all be explained by looking no further than the pages of the Koran.  How very easy, and how much history is ignored of the rise of Islamism and the influence of European fascism and anti-Semitism on the Arab world etc etc etc.  No, in Harris' world all Muslims are irrevocably stuck in the i4th Century, Arab modernism never happened, now they're going to get hold of nukes and ... well, we're all doomed really.  Thanks, Sam.<br /><br />Some time after this we are treated to a little treatise in favour of the practice of torture.  This arises from the argument that the Western powers are morally superior to the evil Muslim suicide bombers because the \\""""collateral damage\\"""" (i.e. civilian deaths) caused by air bombing are \\""""unintentional\\"""", so if George Dubya had been able to get hold of a \\""""perfect weapon\\"""" that would avoid such casualties, then he would. (Hmm - now what about Hiroshima and Dresden, well never mind, let's go with him to see where he arrives...)  The next stop in the argument is that torturing terror subjects is not so horrible as killing civilians, so if we're prepared to tolerate \\""""collateral damage\\"""", then why not torture as well.  Ah - but hang on, surely the pain inflicted in torture is intentional and he's just invalidated his own argument?<br /><br />Then the book goes even further off the rails.  After trashing Gandhi (for his pacifism), Harris moves into a section extolling the benefits of Eastern religions vs. the Judaeo-Christian / Muslim tradition.  To support this, he quotes a navel-gazing chunk of Padmasambhava, an 8th Century Tibetan mystic.  Now, if you wanted to construct an argument about the baleful effects of religion on society, need you really look much farther than Tibet, which was almost literally trapped in the Middle Ages by its Buddhist theocracy until the Chinese invaded in the 1950s?  Harris claims that Eastern mysticism was way ahead of the West in its exploration of consciousness, but as a self-professed student of religion, is he really unaware of \\""""The Cloud of Unknowing\\"""" and similar texts that show that just the same sort of thing was taking place in the Christian tradition.  And, I gather in Sufism.<br /><br />If only the author had done his homework.  I think this book can only feed the flames it seeks to quell.  Jihadists in particular will pleased to know that their's is the only possible interpretation of the Koran.effects of religion on society, need you really look much farther than Tibet, which was almost literally trapped in the Middle Ages by its Buddhist theocracy until the Chinese invaded in the 1950s?  Harris claims that Eastern mysticism was way ahead of the West in its exploration of consciousness, but as a self-professed student of religion, is he really unaware of \\""""The Cloud of Unknowing\\"""" and similar texts that show that just the same sort of thing was taking place in the Christian tradition.  And, I gather in Sufism.      If only the author had done his homework.  I think this book can only feed the flames it seeks to quell.  Jihadists in particular will pleased to know that their's is the only possible interpretation of the Koran.",0
"Warning about Vinyl quality! Beware of the 180G Vinyl reissue of this. I bought it, it had a slight warp, surface noise throughout and visible imperfections on the Vinyl! Very poor quality for a supposed 180G \\""""audiophile\\"""" reissue!",0
Five Stars Love it,1
Three Stars Don't get all the hype - perhaps I need to read it again,0
Five Stars A great dvd,1
Five Stars Love the film,1
Five Stars Awesome album from the kings of shredding,1
Five Stars :),1
"Have a Nice day The young techno-inspired inhabitants of California are about as distant from me as some lost tribe. They have different ways of seeing the world and reach for the internet as a solution to life's every problem. The internet has everything at your fingrtips but technology has a way of bleaching out life's more immediate experiences, making it flatter. So, brilliantly we can sit at home and travel the world and learn about history, science, other cultures or wars in distant lands. But, I have a feeling that most westerners are interested in celebrity weddings. The vacuous and empty. Or porn.<br />One interesting concept that this book brought to me is the Singularity. This, I gather, is when artificial intelligence becomes greater than ours. The problem is that we can't imagine what that will be like because our intelligence is limited. It's like trying to imagine what life will be like in the year 3000. After you go through flying cars, the elimination of cancer and spaceships it's really hard to imagine the future beyond things that we aleady know.<br />Mr Penumbra started out as a 6000 word e-book and has been reworked into a papery book things. This is relevant to the story because it seems to be about the interface between old-world technology and new. A criticism levelled at the book is that it is aimed at young adults but I have read the Hunger Games and don't have a problem with books appealling to a wider audience. It is just sooo sunny, Californian, rock-climbing, low-carb, computer savvy, bright young things - it makes me feel a bit sick. But, I am an aging dinosaur heading for extinction....",0
Ok Good app all round helpful for meditation and relaxing but i find that because some of the noises turn off after a while it is hard to properly relaxant would recommend the app,0
Disappointing Arrived next day and was very excited - Having read all of the previous books in the series this was a huge disappointment. Over promised and under delivered.,0
One Star Still waiting on it to download after 3 days and counting.,0
Five Stars fantastic,1
foot stomping This is a get off your seat and get up and dance cd.  Although a few years old it is still a good listen and should be in your collection if good time rock is your thing.,0
Four Stars excellent~!,1
Five Stars Weird movie but good,1
Five Stars Good book easy to read funny and silly. Title attracts much attention,1
Three Stars thank you for the item my friend really like's it and want's to thank you,0
Five Stars Fun,1
"Not sure what the fuss is about I found the book to be well below the standard of good crime fiction. Ian Rankin's novels are practically war and peace compare to this one. For me it lacked suspense, although the plot had some ambition on the surface(ex KGB man, the journalist, murders, etc) and overall missed any sophistication. The only thing for me was some novelty in the style of the scandinavian writer... But hundreds of positive reviews- may be I'm missing something !",0
Five Stars LOVED IT,1
GREAT CD This one is amazing! So great music! It's perfect!!! I simply adore Slash and Myles Kennedy and this cd is a perfect combination of the best of the two of them.,1
Three Stars Good deal sorted satisfactotily,0
"This is NOT 50 shades This book has a huge sticker on it saying '' if you liked 50 shades then you'll love this''.This was not the case :( It was a very poor copy of 50 shades,very badly written,very boring passionate momments actually sent me to sleep unlike 50 shades which i couldn't put down & read all night! I would not recommend this book.",0
Five Stars Excellent copy - as described. Prompt delivery,1
Good but regen of life takes too long there should ... Good but regen of life takes too long there should be alternative ways to boost energy without having to spend actual money,0
Five Stars Brilliant love.it.so.much.,1
This hilarious Arguably one of the funniest cult films depending on your opinion of what defines a cult film but even so it is a hilarious film with a very very dry sense of humour.,1
"Spend your time on other books This book was a huge disappointment and my farewell to Grisham.<br /><br />After a promising start, the book becomes more and more boring. Stay away!",0
Two Stars ummmmm,0
Five Stars A must for all Simple Minds fans!,1
"Reasonable, but flawed There is no denying that the majority of advice is good and accurate, but it is difficult to see at which level of expertise this guide is pitched.  It does build quite well from the basic function of modern flash units to using modifiers.  However, the author tends to deal in model specific issues (Nikon and Canon) rather too much. Also, he dismisses the issue of 'noise' (the grainy effect seen in higher ISO shots) by suggesting modern cameras are exceptional. Well, his may be, but that won't be true for everyone and many people do not like 'noise' in their pictures. Consequently, in this respect, the vast majority of his examples are of questionable value (I would also question his use of 'gels' on flash for digital photography).  This book will help some people, on some levels, give misleading expectations on others, and can introduce the occasional extra confusion. Having said that, I think it can help to boost confidence by showing it is not too much of a 'dark art'!",0
"Does for books what Jeremy Kyle does for TV! I read it to find out what all the fuss was about & am happy to admit I won't be bothering with the other two books. Repetitive, predictable & absolute drivel & it certainly won't be receiving any literary awards. Far better 'erotic' books out there so don't bother with this one. Outrageously the media claim that this 'gem' will create a babyboom - seriously are people that repressed!!",0
cggf g hah jj Anything's y visitation rights and the rights of others to to do with the your phone number and is now I am am going to do something something that I is not a big difference to me do it you can don't take this opportunity the U.S.tyytyuuy toy story abound yesterday and and I have no clue where to find the the time and of I course you you are a few few days ago in I am going,1
Three Stars A,0
Five Stars Excelent!,1
Ok Took me a while too read def not Harry potter,0
"Shockingly God-awful I can't say much, because I don't want to waste any more of my life on it, but it's not worth anyone's time.<br />It's cliche, cheap and spine-numbingly below average. Shame.",0
Worked! worked perfectly,1
"BORING Is this even meant to scare you? I'm eleven and find it the worst film I've ever seen, really? A doll walkes around with a knife and murders people? Soooo scary NOT, I'ts in the horror film section of netflix number one on cult, to tell the truth I nearly fell asleep. You cant get much more boring than this, Cinderella is scarier so do yourself a favour and save your time and your money!",0
"Dull as ditchwater !! This has got to be one of the worst, most boring, most manufactured albums Ive ever bought. The background music was cheap and synthetic, Badus voice rarely shows her full potential as a singer, which is huge, and not one song stands out. I bought the album on the strength of her performance featuring on other albums, such as The Roots fantastic \\""""You Got Me\\"""", Busta Rhymes etc. Hugely dissapointing and a waste of money, Id recommend this mass market rubbish to no one.",0
One Star wasnt uk edition as described also terrible customer seevice,0
"Complete Disappointment Due to the acclaims given to this novel, I expected something truly unique; especially due to the interesting narrative - death. However, I couldn't be more disappointed if I tried.     I have read my fair share of books and I am also currently studying Nazi Germany, so I have some insight into Germany around the time in the novel. Before I delved into this book, I thought it sounded incredibly interesting; the narrative was different, the setting and date was at a time of interest and the mystery seemed to be lurking from the synopsis on the back. However, instead of feeling like I was connecting with the characters and enjoying the story line, I felt like I was being taught a History lesson into Nazi Germany all over again.     Now don't get me wrong, Zusak's style of writing was innovative and imaginative but I believe there was a lack of flow to the book. Especially with the, oh so many, parts.     The protagonist of the novel, Liesel; is a somewhat boring character compared to the likes of Max and her foster parents. I suspect many people will disagree when I say that the only relationship I found to be of any emotional meaning was between herself and Max, especially when they reunite towards the end. Oh, don't get me started about the end! What an anti-climax that was.    I never say time is wasted, because that is an impossibility, however I would have much preferred to have spent my time reading something more worthwhile. This book was a huge let down to the enormous amount of hype it received and I wouldn't recommend anyone to be put through the struggle of reading it.    Pick something else :)",0
"Great! This arrived in perfect condition and I can't wait to start reading it once my exams are over! A lot bigger than the previous books in the series, which is exciting, though I have noticed that the font is larger. It also contains a fold-out piece of artwork at the back and a comic strip. I'm so eager to start reading it!",1
great game A entertaining games kept me busy 4 hours and the hubby and kids enjoyed not bad 4 a free app,0
Five Stars Absolutely fantastic.,1
"no stars for this rubbish only minus -***** kenneth branagh should be ashamed of himself putting tom clancy's hero in such a bloody awfull film like this,does he think that he is better than clancy,he is a bloody awfull actor as it is.most disapointed,dumped the dvd in bin 13.<br />if people want to film any or all of clancy's books & characters they should first read all of jack ryan books,absorb them& not try to second guess what true affiecindoes of clancy want,to reiteate branagh is a bloody awfull irish actor playing any kind of role",0
"Annoyed Lost everything after playing for 5 months, not spending money on line I might add<br />Reached level 20, then bang everything gone, game re started, never again.",0
Five Stars fantastic value for all these CDs,1
"Unreadable drivel To those of the Leftist persuasion then this book is for you.<br /><br />To sum up, Capitalism bad, central planning and the welfare state good.<br /><br />If you can understand some of the incoherent rambling of Krugman then you deserve a medal.  Clearly he has no clue about economics as evidenced by this book.  Some of what he writes is just doesn't make sense and is really difficult to read and he frequently gets cause and effect the wrong way round.  Many of his statements which he takes for facts with no evidence to back them up are either just wrong or don't make sense.<br /><br />If you want to get an understanding of this crisis then this book would not help you, look elsewhere.",0
"Legend of the Guardians I know nothing about this film, but have bought it along with many others to sit and watch with my children over the Chrismast Break. So I will  let you know",0
"Shades of Pet Semetary I am an ardent Stephen King fan and have read everything he has ever written but found this book not up to his usual standard, for the first time ever i felt as if i was reading something cobbled together from his other books and,  unbelievable for stephen king, was predictable.<br />It felt like he had churned something out under pressure and was lightweight nothing like his usual masterpieces<br />Really disappointed as for me he is the ultimate storyteller",0
Three Stars i was expecting better,0
What can say a great book and a super cat cant wait to read ... What can  say a great book and a super cat cant wait to read all the other books in this series,1
"Loved IT i love James Blunt and this album replaced an old,  misplaced copy so I was thrilled with it!  Thank you",1
One Star Terrible didn't work wouldn't install properly. Cost me 199 coins but was also on free apps ??????,0
Five Stars Excellent music. Great service,1
Five Stars Brilliant daughter loved this,1
"fun game when it works Up till Tuesday I was enjoying playing this game, but since the recent update the game won't load past the load screen, really frustrating as I really wanted to unlock the zoo w which is next for me, I hope the makers sort it out soon.",0
Rubbish! Absolutely terrible.  Not in English!  Thought the design on the front was just that - didn't realise it was writing.  No English all the way through.  Why wasn't it made clear in any way before I bought it?  Total waste of money.,0
Five Stars Grand Daughter loves it,1
"Queen, Greatest Hits A fantastic all round album. A great taster for those whom Queen haven't yet found. One of the greatest bands ever. Everyone should experience Queen in their lives.",1
Five Stars Love this album been looking for a Nirvana CD for so long very happy,1
great I think it's ok but it would be better if all the packs were unlocked already or unlocled when u update. Apart from that it think it's great.,1
"Not what I was expecting from and established author After hearing the audio drama of the short story murder mysteries I was eager to get my hands on some of Neil gaiman's work. I was hugely disappointed by this. If it was a children's book I could understand why some of the prose seems simple, but its clearly not intended for children. I thought the writing was bad and the terry pratchett style jokes awful. Could somebody direct me to some of his better work?",0
"Amazing I am biased in terms of the film as I already loved it before it came onto Blu- Ray(saw it in the cinema twice). Its different to all of the other Disney films as it doesn't follow the usual princess, prince fall in love format. The blu ray copy has an amazing picture, came in good time (although a day later than it was due) and in good packaging to protect in the post. Would recommend all to watch this film.",1
"Why the hell did I buy this CD? Let's not beat about the bush. This album is a pile of tripe. Some prat with a silly watch and some other guy are angry and shout a lot instead of inspiring people to change things for the better.<br />Maybe I'm too white and middle class to get what they are trying to say but whatever my social and economic background I just couldn't find any redeeming qualities in this album.<br />Don't get me wrong I love Public Enemy's song \\""""Fight the Power\\"""" but this album is just dire.",0
Five Stars Ok cd,1
"Not Great Not Bad Bought this after hearing Muse and was recommended it by a friend. I listened to the Album and to me there are only a few tracks worth listening to. Airbag, Karma Police and No Surprises which reminds me of Final Fantasy VII for some reason are great tracks don't get me wrong, but tracks such as Fitter Happier i mean what is that all about? Sorry to say but this Album isn't one of the greatest. In my book Muse are still more powerful and always will be. Thom Yorkes vocals are weak and get boring after a while.",0
Amazing A great game for all ages a must get if you are into puzzle games. How long will it be before Amazon actually sort out sky go.,1
Okay but has faults Keeps closing down and not responding but it is good when it works.,0
"Helpful guide Lots of info and tips on how to manage your curls, from washing up to fancy hair styles.<br />Good to have around.",1
Five Stars good,1
"Conan the Uninspired Oh dear,where do we start?Well,to start with, I loved the original Schwarzenegger movie from 1982.It had sweeping spectacle,awesome cinematography,an incredible production design,a perfect cast and quite possibly the greatest movie score ever written by the late great Basil Poledouris.<br />This version,alas,has none of the above qualities.What it does have is a reasonable start,maybe the first 15-20 minutes is okay,but after that unfortunately degrades into a boring mess of a film that looks like a cross between the TV \\""""Hercules\\"""" series and a rather ropey \\""""Sinbad\\"""" movie.<br />Marcus Nispel is not a competent enough director for a film of this magnitude,and indeed if you look at the movies he has directed,you will soon see the words \\""""uninspired\\"""",\\""""lack-lustre\\"""",\\""""drab\\"""" and \\""""poor\\"""" attached to any of his work.<br />Jason Momoa,while undeniably a \\""""pretty boy\\"""",is no Conan.He lacks the screen-presence to carry a film like \\""""conan\\"""",and although he tries hard,he will never be an Arnold Schwarzenegger or indeed the Conan created by the late Frank Frazetta's masterpieces.<br />If only John Milius (who directed the original film)had been attached,then we would've had a movie to get excited about.As it happens,we have an over-violent,boring,damp-squib of a film.<br />I personally found it difficult to stay awake after an hour of watching this disappointing mess.<br />Such a shame,and a deeply wasted opportunity.Come back Arnold,get hold of John Milius and let's see \\""""King Conan,crown of Iron\\"""".A truly proper Conan movie that we all want to see!",0
Four Stars Country rock at its finest,1
disappointed with stephen kings it dvd Bit disappointed. When it said 2006 in brackets i thought it was a much newer version of the old 90s mini-series but its the same. It should state that its the old version. It adds to my stephen king collection though even if i don't actually watch it!,0
"Disappointing This is something of a ragbag ranging far and wide over neuroscience, consciousness, intelligence, mental illness, mind control, dreams, NDE, robotics/artificial intelligence, aliens and a good deal of futurology. Any one of these topics might have justified a book from this author, but what we get here is mainly a series of superficial commentaries.<br /><br />As far as any persistent themes can be detected, these seem to revolve round consciousness and the development of robotics/artificial intelligence. The theory of consciousness suggested here is really only half a theory, giving consciousness the function of providing models of the future, without explaining either why such models require consciousness, or how consciousness might arise in the first place.<br /><br />The exploration of robotics and artificial intelligence is similarly unsatisfactory. The lack of any progress to date in producing properly autonomous robots is detailed. It is noted how the much-hyped Watson computer appears to lack any capacity for appreciating its own sucess, or socialising with the humans around it. Nevertheless, after describing all this, the author still follows the party line of projecting forward to the triumph of AI/robotics without much suggestion of why the future will be more successful than the past.<br /><br />Perhaps these shortcomings are at least partly redeemed by an insight at the very beginning of the book, where it is suggested that the introduction of brain scanning since the 1990s is as significant as the invention of the telescope for the scientific understanding of our world.",0
Purchase of Kylie Monogues Cd It is difficult to write a review as I purchased the cd for a relative as a birthday present.  I have not been told how it was rated.  I am sure if it was my purchase I would be very pleased with it as I am a fan of Kylie Monogue.,0
Five Stars Excellent cd and delivered on time and at a great price.,1
"This makes me sad a really poor sequel - Hit-Girl (for me the main character) is not even 10 minutes on-screen - MotherF just looks stupid - and the fun is kinda gone - and violent? yeah, it is, for about 10 minutes (see above), the rest not so much...",0
A complete waste of money I feel compelled to advise you NOT TO BUY THIS BOOK!!! I did not enjoyed reading it; the plot is amateuristic and utterly boring. There is not any progression in the relationships that Jane Austen so worderfully developed in Pride and Prejudice and the writer's attempts to make it interesting are totally unsuccessful.,0
Five Stars the best,1
Three Stars country stylish,0
"Donna at her best. I think this is the best of the author's three books. Despite the length, (sections could have been subjected to surgery without the loss of any vital organs) I was rivetted throughout. The author has a unique way with words and never a cliche in sight. A very enjoyable read.",1
Full of emotions my  fourteen year old daughter read it and  she really really enjoyed it  she said it was sad and happy all in  one go,1
"makes you realise This unplugged album by REM makes you realise what were missing from the boys from Athens Georgia!, never afraid to mix up the big hits with album anthems and just rareties that they love performing.",1
Great album I am a big fan of MO and this is a great follow to TB1 i am always playing this CD when i need to relax after a l8ng 12 hour shift at work.,1
"I shall highly recommend this book for all Michael Jackson fans. I have not read this book as of yet; however I have heard so many great things about Defending A King ~ His Life & Legacy, written by Dr. Karen Moriarty--a book that explains, vindicates, and celebrates Michael Jackson!<br />Thomas A. Mesereau [MJ's defense attorney] endorses this book:<br />\\""""If you want an eye-opening portrayal of the real Michael Jackson -<br />delivered in a rare blend of disclosure, respect, insight, and passion - this is it!\\"""" That statement and the title alone caught my attention on wanting to order this book about \\""""The King Of Pop\\"""" Michael Jackson.. As a child--oldest of six children and parents not being able to afford to buy posters or magazines for me as a child-- I had a desire to learn more growing up about M.J. but never had the chance; now I do . Michael Jackson was a proud man from things I have read so far in Dr. Karen Moriarty's postings on her Facebook site. Knowing his passion to please his fans and bring more to the earth, Dr. Karen Moriarty shows that M.J. truly loved children of this world. I for one will never believe the gossip people say about him!!!! He was humble and spent money he made for children less fortunate and visited sickly children in the hospital. Yes, Michael Jackson was a great man. I believe all of his fans love him and miss him . I am honored to buy this book by Dr. Karen Moriarty. I truly believe she had a great insight into the King of Pop, like she knew the big star not only by his fame but his soul as a person. Will write more after I read the book.... From a fan most excited beyond belief !!!!!!! \\""""I shall highly recommend this book for all Michael Jackson fans.\\"""" >>>>> Lora",1
Five Stars Brilliant,1
I love it Get it it is 'really fun love it.,1
Five Stars Great films,1
"Good app. Good fun, great graphics on Kindle and better magnification than on tablet but in-  app purchases make it expensive. If you really get into the game it's too easy to get carried away. Recharging of the elements takes far too long.",0
farm mania One of my favourite match 3 games. Lots of fun and great for kids too.,1
great. Great game brilliant.,1
Recommended if you are starting or have your own business Great principles of becoming a successful business owner.,1
"Two Stars The CD dosen't have the same musics as de DVD, as i expected to",0
"Where are the extras?! Loved this movie in the cinema. It is a bit of a no-brain-required action flick. The lossless audio is outstanding for anyone with a 5.1 system. Also, not keen on the grainy filter used, I prefer my high-def picture to be crisp and clean (e.g. Dark Knight)<br />My biggest gripe with this release is the lack of additional content, even Superman Returns has more. Very disappointed, considering this was the more expensive Blu-ray option<br /><br />Lost a star for being just a good movie, not amazing<br />Lost a star for lack of additional content.",0
Five Stars Very good and very quick 2 get going.,1
Two Stars rubish,0
"Brilliant Brilliant, all the best tracks from the film here on this disk.",1
you should buy it You should buy it because it is actually a pretty good game the only thing is when you already have and account and you don't remember you will have to start again.,1
"Uninspired and dreary I had high expectations when I received the book but was bitterly disappointed.<br />I am sure Ms. Heilbron was a formidable person and a brilliant lawyer, it is a pity that her biography was not written by someone with the same talent in writing.<br />The entire book is an endless and rather boring list of court cases presented without any insight or interest for that matter.<br />It would have been interesting to read what inspired Ms. Heilbron or gain insights into her thinking, instead the reader is constantly reassured that she was also a good and homely wife and mother and the author seems almost apologetic about the fact that Rose Heilbron was a brilliant professional.<br />I do not think this book does the person Rose Heilbron any justice and was very uninteresting to read",0
"what could have been... Ahh, so frustrating. On  the surface this appears to be an improvement on th  original, but for a few things. The lagging is horrible, I shouldn't need t o play on a lower setting for the game to perform well.<br />The swinging mechanics are a step backwards, you need to hold the jump button which gives no control over the height of your jumps, in the original you had to double press jump to swing and it was much better.<br />The daily bugle collectibles! Worst. Placed. Collectibles. EVER. The new swinging doesn't help, either.<br />Such a shame because other areas like story and mission progression are much better.<br />Also, no upgrading unless you buy stupidly overpriced suits? No thanks.<br />Fix the lagging and give us an option to use the original swing method and stop fleecing customers with add-ons and this could be great.",0
Two Stars Not good at all,0
Three Stars OK,0
Received but took a long time. The product condition was fine and as described. It was not falling apart even though the spine was very damaged. The product also took along time to arrive.,0
farm heroes saga This game is absolutely amazing and I hope king soon make more updates for this game or more power ups.,1
Five Stars Amazing DVD with great sound and picture.  Well worth the money.,1
creative Nice game a good test of vision and very addictive but as with all types of this game to reliant on people spending money,0
pointless release I heard Leona's new single Forgive Me the other day on the radio and i love it and i thought there would be a new album coming out in the near future how wrong i was!! Upon browsing Amazon i see Spirit is being re-released with the single on it. The original is fantastic so why have they done this?<br />my advice stick to the original album buy the single and wait for her new album...,0
Three Stars Excellent - though some of the descriptions rather tedious and over-long,0
Predictably Irrational Interesting book. I will read it again before I make a final decision on it's worth.,0
"Neither Jane Austen nor PD James I may be the only person in the world who feels this, judging by the reviews, but I was very disappointed. I am a fan of PD James's Adam Dalgleish stories and a lover of English Literature, but this attempt to combine the two has resulted in a stiff and unconvincing murder story. Paying homage to Jane Austen has made Austen seem snobbish and limited because her sharp satirical eye is missing. Self indulgent of Baroness James, but then she is allowed to do what she wants at her age!",0
it is good The game could be the.... best game I played,1
"read! Great book. Must read. An emotional roller coaster with that is well worth the ticket, it's a book for everyone.",1
"brilliant This app is brilliant, great for horse liberated horses actually move make noises it's like their real and they're yours it's just brilliant for free.",1
Three Stars More or less what I expected thank you,0
"Bit of a slog Not my usual choice of reading material, but I liked the sound of the concept. It is a bit of a slog to get through, and I wouldn't say it held my interest all the time, but it is interesting in parts. I'm not a real fan of these 'journeys of discovery', but I admire her nerve and daring to do such a walk; especially alone and genuinely hope it helped her to come to terms with the tragedies and events in her life, but I personally found it a little tiring.",0
it came in good time The DVD arrived two weeks before  expected date is the only good thing I can say as the DVD is not  compatible with my DVD player.,0
Four Stars o.k.,1
almost impossible!!!!! It starts of kinda easy but at stage 7 it really hard I kept trying and eventually I got to the last level but that one's impossible do buy but be warned,1
Not a bad yoke at all Sort of parful,0
... lovely and when you watch the film you feel like dancing to the dance sequencies  in the film is lovely and when you watch the film you feel like dancing to it,1
Great buy! Amazing!!!!,1
Five Stars Oh takes me back.....just how i remembered...oh to be 20 again.....,1
demonkiller Nice one some thing to wet your appetite especially if your a vamp.....ke<br />ep killing@@@@,1
"Had to read it Had to read due to all the hype, ok of its type I suppose quite a laugh at times too",0
Five Stars Best action packed movie.,1
"try reading this ..... the secret really is an updated polished version of the work of wallace d. wattles book the science of getting rich, this book was given to the author of the secret.<br /><br />take out of it what you want, anything about thinking positive and the law of attraction can only be good ,try another book the game of life and how to play it .. you need to believe in the laws of attraction and the thought process  .i haven't read the secret because i have the science of  getting rich...  great positive books and yes they do help",0
"It's ok The graphics and Christian bale safe this movie....the story it's ok....remind that  God didn't  make any sense at all.... This one it's a lot better then NOAH movie.  3,5  of 5",0
